match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event,opponent,india_result,year,india_won_toss,india_batted_first
1426770,28-07-2024,India,Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,India,bat,Women's Asia Cup,Sri Lanka,Loss,2024,TRUE,TRUE
1429393,28-04-2024,India,Bangladesh,Sylhet International Cricket Stadium,Sylhet,India,India,bat,India Women tour of Bangladesh,Bangladesh,Win,2024,TRUE,TRUE
1429394,30-04-2024,Bangladesh,India,Sylhet International Cricket Stadium,Sylhet,India,Bangladesh,bat,India Women tour of Bangladesh,Bangladesh,Win,2024,FALSE,FALSE
1429395,02-05-2024,Bangladesh,India,Sylhet International Cricket Stadium,Sylhet,India,India,field,India Women tour of Bangladesh,Bangladesh,Win,2024,TRUE,FALSE
1429396,06-05-2024,India,Bangladesh,Sylhet International Cricket Stadium,Sylhet,India,Bangladesh,field,India Women tour of Bangladesh,Bangladesh,Win,2024,FALSE,TRUE
1429397,09-05-2024,India,Bangladesh,Sylhet International Cricket Stadium,Sylhet,India,India,bat,India Women tour of Bangladesh,Bangladesh,Win,2024,TRUE,TRUE
1432425,04-10-2024,New Zealand,India,Dubai International Cricket Stadium,Dubai,New Zealand,New Zealand,bat,ICC Women's T20 World Cup,New Zealand,Loss,2024,FALSE,FALSE
1432428,06-10-2024,Pakistan,India,Dubai International Cricket Stadium,Dubai,India,Pakistan,bat,ICC Women's T20 World Cup,Pakistan,Win,2024,FALSE,FALSE
1432433,09-10-2024,India,Sri Lanka,Dubai International Cricket Stadium,Dubai,India,India,bat,ICC Women's T20 World Cup,Sri Lanka,Win,2024,TRUE,TRUE
1432439,13-10-2024,Australia,India,Sharjah Cricket Stadium,Sharjah,Australia,Australia,bat,ICC Women's T20 World Cup,Australia,Loss,2024,FALSE,FALSE
1434291,05-07-2024,South Africa,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,South Africa,India,field,South Africa Women tour of India,South Africa,Loss,2024,TRUE,FALSE
1434292,07-07-2024,South Africa,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,,India,field,South Africa Women tour of India,South Africa,No Result,2024,TRUE,FALSE
1434293,09-07-2024,South Africa,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,India,field,South Africa Women tour of India,South Africa,Win,2024,TRUE,FALSE
1448397,28-06-2025,India,England,"Trent Bridge, Nottingham",Nottingham,India,England,field,India Women tour of England,England,Win,2025,FALSE,TRUE
1448398,01-07-2025,India,England,"County Ground, Bristol",Bristol,India,England,field,India Women tour of England,England,Win,2025,FALSE,TRUE
1448399,04-07-2025,England,India,"Kennington Oval, London",London,England,England,bat,India Women tour of England,England,Loss,2025,FALSE,FALSE
1448400,09-07-2025,England,India,"Old Trafford, Manchester",Manchester,India,England,bat,India Women tour of England,England,Win,2025,FALSE,FALSE
1448401,12-07-2025,India,England,"Edgbaston, Birmingham",Birmingham,England,England,field,India Women tour of England,England,Loss,2025,FALSE,TRUE
1459891,15-12-2024,India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,West Indies,field,West Indies Women tour of India,West Indies,Win,2024,FALSE,TRUE
1459892,17-12-2024,India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,West Indies,West Indies,field,West Indies Women tour of India,West Indies,Loss,2024,FALSE,TRUE
1459893,19-12-2024,India,West Indies,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,West Indies,field,West Indies Women tour of India,West Indies,Win,2024,FALSE,TRUE
1513735,21-12-2025,Sri Lanka,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,India,field,Sri Lanka Women tour of India,Sri Lanka,Win,2025,TRUE,FALSE
1513736,23-12-2025,Sri Lanka,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,India,field,Sri Lanka Women tour of India,Sri Lanka,Win,2025,TRUE,FALSE
1513737,26-12-2025,Sri Lanka,India,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,India,field,Sri Lanka Women tour of India,Sri Lanka,Win,2025,TRUE,FALSE
1513738,28-12-2025,India,Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,Sri Lanka,field,Sri Lanka Women tour of India,Sri Lanka,Win,2025,FALSE,TRUE
1513739,30-12-2025,India,Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,Sri Lanka,field,Sri Lanka Women tour of India,Sri Lanka,Win,2025,FALSE,TRUE
355988,18-06-2009,India,New Zealand,Trent Bridge,Nottingham,New Zealand,New Zealand,bat,ICC Women's World Twenty20,New Zealand,Loss,2009,FALSE,FALSE
412716,13-05-2010,Australia,India,"Beausejour Stadium, Gros Islet",St Lucia,Australia,India,bat,ICC Women's World Twenty20,Australia,Loss,2010,TRUE,TRUE
492547,26-06-2011,England,India,County Ground,Taunton,England,England,bat,NatWest Women's T20 Quadrangular Series,England,Loss,2011,FALSE,FALSE
533302,27-09-2012,Australia,India,Galle International Stadium,,Australia,India,bat,ICC Women's World Twenty20,Australia,Loss,2012,TRUE,TRUE
533306,29-09-2012,England,India,Galle International Stadium,,England,India,bat,ICC Women's World Twenty20,England,Loss,2012,TRUE,TRUE
533309,01-10-2012,India,Pakistan,Galle International Stadium,,Pakistan,Pakistan,bat,ICC Women's World Twenty20,Pakistan,Loss,2012,FALSE,FALSE
542850,26-06-2012,England,India,St Lawrence Ground,Canterbury,England,India,field,India Women in England T20I Series,England,Loss,2012,TRUE,FALSE
542851,28-06-2012,England,India,County Ground,Chelmsford,England,India,bat,India Women in England T20I Series,England,Loss,2012,TRUE,TRUE
584772,03-10-2012,Sri Lanka,India,Nondescripts Cricket Club Ground,Colombo,India,Sri Lanka,bat,ICC Women's World Twenty20,Sri Lanka,Win,2012,FALSE,FALSE
584924,28-10-2012,India,Pakistan,Guanggong International Cricket Stadium,,India,Pakistan,bat,Asian Cricket Council Women's Twenty20 Asia Cup,Pakistan,Win,2012,FALSE,FALSE
584929,31-10-2012,India,Pakistan,Guanggong International Cricket Stadium,,India,India,bat,Asian Cricket Council Women's Twenty20 Asia Cup,Pakistan,Win,2012,TRUE,TRUE
682973,24-03-2014,India,Sri Lanka,Sylhet Stadium,,Sri Lanka,Sri Lanka,bat,Women's World T20,Sri Lanka,Loss,2014,FALSE,FALSE
682981,26-03-2014,England,India,Sylhet Stadium,,England,India,bat,Women's World T20,England,Loss,2014,TRUE,TRUE
682995,30-03-2014,Bangladesh,India,Sylhet Stadium,,India,India,bat,Women's World T20,Bangladesh,Win,2014,TRUE,TRUE
683005,01-04-2014,India,West Indies,Sylhet Stadium,,India,West Indies,bat,Women's World T20,West Indies,Win,2014,FALSE,FALSE
683009,02-04-2014,India,Pakistan,Sylhet Stadium,,India,India,bat,Women's World T20,Pakistan,Win,2014,TRUE,TRUE
895789,29-01-2016,Australia,India,Melbourne Cricket Ground,,India,India,field,India Women in Australia T20I Series,Australia,Win,2016,TRUE,FALSE
895791,31-01-2016,Australia,India,Sydney Cricket Ground,,Australia,India,field,India Women in Australia T20I Series,Australia,Loss,2016,TRUE,FALSE
951375,15-03-2016,India,Bangladesh,M Chinnaswamy Stadium,Bangalore,India,Bangladesh,field,Women's World T20,Bangladesh,Win,2016,FALSE,TRUE
951387,19-03-2016,India,Pakistan,Feroz Shah Kotla,Delhi,Pakistan,Pakistan,field,Women's World T20,Pakistan,Loss,2016,FALSE,TRUE
951395,22-03-2016,India,England,Himachal Pradesh Cricket Association Stadium,Dharamsala,England,England,field,Women's World T20,England,Loss,2016,FALSE,TRUE
951409,27-03-2016,India,West Indies,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,West Indies,India,field,Women's World T20,West Indies,Loss,2016,TRUE,FALSE
